age,income,debt_ratio,credit_score,number_of_open_loans,has_overdue,default
25,45000,0.3,620,2,0,0
30,80000,0.1,750,1,0,0
45,30000,0.8,580,5,1,1
50,60000,0.4,690,2,0,0
22,25000,0.9,550,4,1,1
35,50000,0.5,640,3,0,0
28,40000,0.6,600,2,1,0
60,100000,0.2,800,1,0,0
33,35000,0.7,590,4,1,1
40,55000,0.4,660,2,0,0
38,48000,0.5,630,3,0,0
55,90000,0.15,720,1,0,0
29,32000,0.75,570,5,1,1
48,70000,0.35,680,2,0,0
23,28000,0.85,540,4,1,1
31,42000,0.55,610,3,1,0
58,110000,0.1,810,1,0,0
37,52000,0.45,650,2,0,0
26,38000,0.7,595,4,1,0
42,65000,0.3,700,2,0,0
52,85000,0.25,710,1,0,0
27,39000,0.65,605,3,1,1
34,47000,0.5,625,2,0,0
47,75000,0.3,730,2,0,0
24,26000,0.95,530,5,1,1
